ID	12h	24h	36h	48h
22.92.1	0.054	0.19	0.155	0.159
22.92.2	0.058	0.17	0.142	0.147
22.92.3	0.063	0.147	0.122	0.103
17.70.1	0.072	0.226	0.158	0.145
17.70.2	0.075	0.206	0.152	0.144
17.70.3	0.063	0.157	0.106	0.086
17.78.1	0.085	0.212	0.142	0.138
17.78.2	0.075	0.193	0.155	0.149
17.78.3	0.064	0.141	0.091	0.079
16.22.1	0.073	0.256	0.211	0.186
16.22.2	0.077	0.246	0.204	0.181
16.22.3	0.061	0.242	0.175	0.147
9.13.1	0.064	0.063	0.057	0.05
9.13.2	0.105	0.08	0.065	0.059
9.13.3	0.104	0.106	0.054	0.047
9.15.1	0.051	0.056	0.049	0.048
9.15.2	0.047	0.078	0.062	0.06
9.15.3	0.045	0.076	0.071	0.088
neg	0.046	0.046	0.047	0.046