ID	48h+0m	48h+30m	48h+60m	48h+90m	48h+120m	48h+150m	48h+180m
22.92.1	0.1	0.104	0.103	0.11	0.164	0.163	0.164
22.92.2	0.17	0.172	0.167	0.167	0.165	0.167	0.172
22.92.3	0.164	0.161	0.17	0.158	0.104	0.087	0.103
17.70.1	0.155	0.151	0.151	0.154	0.157	0.149	0.149
17.70.2	0.165	0.16	0.16	0.164	0.162	0.161	0.162
17.70.3	0.088	0.088	0.089	0.093	0.087	0.088	0.089
17.78.1	0.15	0.153	0.15	0.152	0.151	0.15	0.148
17.78.2	0.168	0.164	0.166	0.163	0.167	0.162	0.161
17.78.3	0.081	0.08	0.079	0.079	0.079	0.079	0.1
16.22.1	0.192	0.202	0.203	0.2	0.205	0.201	0.203
16.22.2	0.187	0.193	0.2	0.201	0.201	0.201	0.202
16.22.3	0.175	0.14	0.148	0.153	0.155	0.153	0.163
9.13.1	0.082	0.062	0.059	0.059	0.068	0.061	0.058
9.13.2	0.095	0.095	0.086	0.089	0.09	0.085	0.085
9.13.3	0.099	0.095	0.088	0.095	0.101	0.092	0.089
9.15.1	0.097	0.061	0.063	0.064	0.081	0.059	0.056
9.15.2	0.094	0.089	0.108	0.1	0.104	0.092	0.09
9.15.3	0.091	0.094	0.103	0.097	0.093	0.088	0.089
neg	0.044	0.048	0.045	0.046	0.046	0.046	0.046